total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
82469.0,88,23,88.25325325325325,20.983983983983983
85012.0,88,22,88.72872872872873,18.932932932932932
81435.0,91,30,89.49949949949949,21.244244244244243
84712.0,90,26,88.41641641641641,18.495495495495497
84288.0,92,32,89.7947947947948,20.565565565565567
84702.0,89,25,88.81381381381381,18.314314314314313
81808.0,88,28,87.998998998999,19.57157157157157
80629.0,86,26,86.34834834834835,20.736736736736738
86683.0,87,21,87.29829829829829,16.474474474474473
82835.0,88,32,87.23623623623624,20.02002002002002
86560.0,90,20,86.90090090090091,17.215215215215217
90434.0,89,21,88.34434434434435,16.55255255255255
83867.0,87,20,88.17017017017017,18.25225225225225
82043.0,87,28,87.43043043043043,18.93793793793794
80619.0,90,31,88.61961961961961,21.86786786786787
79512.0,86,26,87.97997997997997,22.165165165165167
80382.0,93,35,88.6036036036036,22.51151151151151
91279.0,90,21,87.990990990991,14.77877877877878
79690.0,90,33,88.05705705705705,22.057057057057058
82793.0,90,28,86.8068068068068,19.414414414414413
82432.0,90,35,88.6076076076076,20.364364364364363
83596.0,92,25,88.01301301301301,19.137137137137138
79811.0,87,28,87.58858858858859,21.88888888888889
85122.0,87,27,87.14814814814815,17.756756756756758
89443.0,91,17,88.31031031031031,16.54954954954955
80696.0,92,32,88.24124124124124,22.024024024024023
87189.0,89,28,88.84584584584584,18.33033033033033
83111.0,88,24,87.32632632632632,18.762762762762762
82934.0,90,28,87.84884884884885,19.94894894894895
85086.0,91,28,88.32232232232232,20.18218218218218
82585.0,90,30,87.93893893893893,19.934934934934933
81446.0,91,31,88.77177177177177,20.54254254254254
84281.0,89,28,86.3943943943944,19.143143143143142
79199.0,87,34,86.70770770770771,22.57757757757758
81787.0,90,33,87.991991991992,21.07807807807808
85004.0,95,28,89.23623623623624,18.107107107107108
81194.0,89,31,86.88188188188188,19.74774774774775
87215.0,88,24,87.54054054054055,17.43243243243243
80449.0,89,31,88.17817817817817,21.44744744744745
77839.0,88,35,86.30630630630631,23.983983983983983
85485.0,90,20,87.88788788788789,18.854854854854853
82932.0,87,23,87.28128128128128,19.57957957957958
83997.0,88,22,87.75975975975976,19.093093093093092
83132.0,88,24,86.43343343343344,19.354354354354353
86414.0,93,25,86.85085085085085,16.22122122122122
84570.0,89,26,87.7917917917918,18.293293293293292
78659.0,89,35,87.8098098098098,22.84184184184184
83558.0,90,28,87.85885885885885,19.28728728728729
81353.0,86,28,86.35535535535536,20.97097097097097
82471.0,90,32,90.17317317317317,20.79079079079079
79205.0,88,34,86.7987987987988,21.59059059059059
86140.0,92,21,89.22322322322323,17.37737737737738
87992.0,91,25,87.49949949949949,17.116116116116117
84891.0,92,21,87.82782782782783,18.61161161161161
86398.0,87,30,86.50050050050051,18.144144144144143
82671.0,88,30,86.49849849849849,20.996996996996998
88001.0,85,19,87.47947947947948,17.346346346346348
86185.0,87,24,86.4004004004004,17.89189189189189
85929.0,88,22,88.24824824824825,18.1991991991992
86179.0,91,23,86.998998998999,17.176176176176178
89864.0,90,20,89.25425425425425,15.825825825825826
83166.0,91,25,87.83883883883884,19.736736736736738
82718.0,85,25,87.02502502502503,19.403403403403402
86993.0,88,30,86.91991991991992,18.1021021021021
85956.0,89,19,88.65565565565565,17.47247247247247
77968.0,89,31,88.4084084084084,23.02002002002002
83676.0,89,31,87.92392392392392,19.86086086086086
80745.0,87,25,88.18718718718719,20.613613613613612
81448.0,89,26,87.70870870870871,20.213213213213212
81924.0,89,23,86.53853853853853,19.822822822822822
82707.0,90,28,87.01501501501501,20.125125125125127
80420.0,91,28,88.52052052052052,22.626626626626628
82795.0,88,24,87.57357357357357,19.435435435435437
82903.0,87,32,88.36236236236236,20.42042042042042
85594.0,91,26,87.11911911911912,19.073073073073072
83683.0,91,24,88.11011011011011,19.576576576576578
84231.0,86,21,86.73673673673673,18.31231231231231
86683.0,90,22,87.90390390390391,16.70770770770771
81588.0,89,26,88.18618618618619,20.635635635635637
